base,month,csv_file,local_count,reference_count,matched_count,missing_in_local_count,extra_in_local_count
encerradas,2025-11,output/processed/encerradas/2026-03-02.csv,0,1458,0,1458,0
encerradas,2025-12,output/processed/encerradas/2026-03-02.csv,0,1639,0,1639,0
encerradas,2026-01,output/processed/encerradas/2026-03-02.csv,0,1515,0,1515,0
encerradas,2026-02,output/processed/encerradas/2026-03-02.csv,1849,1847,1847,0,2
encerradas,2026-03,output/processed/encerradas/2026-03-02.csv,72,2,2,0,70
analisadas,2025-12,output/processed/analisadas/2026-03-02.csv,0,45,0,45,0
analisadas,2026-01,output/processed/analisadas/2026-03-02.csv,0,109,0,109,0
analisadas,2026-02,output/processed/analisadas/2026-03-02.csv,0,406,0,406,0
analisadas,2026-03,output/processed/analisadas/2026-03-02.csv,62,9,3,6,59
ingressadas,2025-11,output/processed/ingressadas/2026-03-02.csv,0,1507,0,1507,0
ingressadas,2025-12,output/processed/ingressadas/2026-03-02.csv,0,1650,0,1650,0
ingressadas,2026-01,output/processed/ingressadas/2026-03-02.csv,0,1818,0,1818,0
ingressadas,2026-02,output/processed/ingressadas/2026-03-02.csv,1909,1906,1737,169,172
ingressadas,2026-03,output/processed/ingressadas/2026-03-02.csv,72,0,0,0,72
